UserID,UserName,Age,Bronze,Silver,Gold,Creation_Date
1630244,chrislott,0,11,2,0,1346156411
1351721,obelix,0,20,1,0,1335196051
4251775,Vignesh Kalai,22,7,0,0,1415957539
2629655,sandy.sk,0,4,0,0,1375089487
8256,Ed Thomas,0,17,5,1,1221492767
4055164,CodeNameInvader,0,2,0,0,1411055190
1056852,BlaShadow,23,34,13,3,1321826228
2629741,Frank Olschewski,0,9,1,0,1375090784
1400915,user1400915,0,19,7,1,1337256089
4153464,Artje fluit Art,0,1,0,0,1413546785
1728605,Yasser Al Masri,0,6,0,0,1349694319
417864,Alexandre Rafalovitch,0,17,7,1,1281574473
3022945,Hristo Ivanov,22,10,2,0,1385145537
4104302,Sushith Ghanta,18,4,0,0,1412293960
3170404,user3170404,0,4,0,0,1389120569
2400380,Amir M,0,6,0,0,1369021919
3448943,NarenderNishad,0,12,2,0,1395467754
2302078,user2302078,0,7,0,0,1366460349
2400325,Kris Li,0,4,0,0,1369020280
3776600,elvisrusu,0,6,0,0,1403722603
2351179,Tim.Liang,0,1,0,0,1367726247
1826930,Shaked,25,8,1,0,1352989293
4153428,Amit Singh Tomar,24,3,0,0,1413546142
417896,BAR,0,51,19,0,1281577388
2678855,Kuldeep Singh,28,7,0,0,1376401818
1581160,Nicolai,33,10,2,0,1344323691
1302626,robson,0,22,5,0,1333090363
2678873,Paul J Abernathy,0,8,2,0,1376402068
417906,aj.esler,0,13,3,0,1263428526
1204330,reindeer,23,25,3,0,1328994512
3072086,jgubbels,0,10,1,0,1386277933
8313,Sean Reilly,36,43,23,2,1221493330
1826912,Rohit Pandey,0,17,4,1,1352988862
3678276,Valentin Cavel,0,6,0,0,1401164545
696436,Gabriele B,35,20,5,0,1302166294
368772,tcooc,0,44,20,1,1276730166
3399857,user3399857,0,4,0,0,1394409883
3072168,xsorifc28,0,12,2,1,1386279599
417934,Chris Rice,26,12,4,0,1281581955
3023015,Karlo Espiritu,0,1,0,0,1385146796
1826962,arvinchhi,28,11,1,0,1352990001
4104359,emceenugget,0,1,0,0,1412296204
1581185,Riser,0,54,20,1,1344324188
1826944,Carlos Lopez,0,3,0,0,1352989654
3170478,LcSalazar,0,31,6,1,1389121882
942224,Sanket Kachhela,24,44,16,2,1315907086
598186,2bard,27,21,11,1,1296554759
4153493,Martin Pl&#225;vek,22,5,0,0,1413547307
3776663,user3776663,0,2,0,0,1403723691
3399810,Russel Ledge,0,7,0,0,1394407794
1302689,zidom,0,2,0,0,1333092834
1581226,qwerty,0,23,5,0,1344325180
2629787,Koz Ross,27,12,3,0,1375091423
1826991,liviu popovici,0,5,0,0,1352990548
319665,Nikhil Mathew,32,12,0,0,1271593874
696508,George,0,3,0,0,1302168841
3170439,user3170439,0,5,0,0,1389121117
3072153,Sherekan,23,9,0,0,1386279257
1204393,Aur&#233;lien Thieriot,32,14,9,0,1328997981
942261,DaveB,0,34,13,2,1315908265
2121885,dangVarmit,0,19,9,1,1362102024
3776761,Jeff,0,3,1,0,1403725711
1007820,bking007,0,6,0,0,1319229126
3023085,codethilina,23,2,0,0,1385148359
1302743,GBrian,0,8,0,0,1333094452
3170549,Sunga,0,5,0,0,1389123262
368835,Bachrach44,0,3,0,0,1276737755
1581266,yevgeniy mordovkin,0,18,4,1,1344326164
3023077,Mark Wagoner,0,8,1,0,1385148135
4006129,haddr,0,5,2,0,1409793248
3121378,Michael Chen,21,5,0,0,1387509889
1958098,Thomas,0,7,0,0,1357648547
696538,Ahmad Dwaik &#39;Warlock&#39;,28,33,17,3,1302170178
1532103,Balder,30,15,4,0,1342535526
3170529,Canis Artorus,33,1,0,0,1389122892
1581259,Md. Yusuf,0,8,0,0,1344325956
1007835,Jeff Nadler,0,4,0,0,1319230214
1351873,Sergio Viudes,0,17,4,0,1335200680
549086,kau,0,8,1,0,1292873821
319698,npostavs,0,23,7,0,1271599603
1351884,user1351884,0,2,0,0,1335201048
3072247,Bartek,0,6,0,0,1386281111
1532104,user125264,0,16,4,0,1342535558
1204466,slam5000,0,6,0,0,1329002672
1777914,user1777914,0,24,8,0,1351274558
2351298,AuthorOfTheSurf,0,2,0,0,1367731711
2400454,Jay,24,13,2,1,1369024745
8418,Lipis,32,82,45,12,1221494347
1958135,Philipp Cornelius,0,8,1,0,1357649374
3629277,Marc Johnen,0,4,0,0,1399910918
1958134,Michail Gede,0,0,0,0,1357649357
3776722,user3776722,0,1,0,0,1403724916
2678983,Nils,0,7,4,0,1376403877
3399887,Yanqui,0,4,0,0,1394410902
598280,Gergely Feh&#233;rv&#225;ri,0,55,23,2,1296559565
3072299,A. Adam,0,5,1,0,1386282518
2859310,mmxx,23,8,2,0,1381246654
2777381,nouseforname,0,10,2,0,1379093510
4432210,Raj Sharma,0,3,0,0,1420708903
598289,SJuan76,38,51,19,3,1296559647
1581313,Rohan Pawar,30,19,3,0,1344327313
319773,Bevor,0,60,27,4,1271610958
3121461,Cuong Huynh,0,5,0,0,1387512721
1777921,herohat,0,3,0,0,1351274614
3629357,Egor  Skriptunoff,0,4,0,0,1399912404
368926,Elias,26,31,13,1,1276748766
4153635,DrDoofenshmirtz,49,0,0,0,1413549714
1777927,Harshit,26,8,0,0,1351274812
3678500,xiangjia.liu,0,0,0,0,1401170613
1777926,rick byington,0,3,0,0,1351274785
3072307,Al Mills,30,12,2,0,1386282754
3629353,Dennis Korbar,0,5,0,0,1399912273
3170577,HarrisonG16,0,7,0,0,1389123768
2679052,defim,0,4,1,0,1376405061
3727644,Don.P,0,1,0,0,1402432325
1958200,dvdsmpsn,0,13,4,0,1357650625
3072267,Stefan Schr&#246;der,0,6,1,0,1386281689
3629330,fgonzalez,0,9,1,0,1399911889
2679066,Quicker,0,13,2,0,1376405248
696632,Michael-O,32,52,20,2,1302173026
319795,aliuy,0,13,6,0,1271613374
1351982,Jake S,0,7,0,0,1335204283
3678466,Mirek Surma,0,6,0,0,1401169882
1777956,Elias,0,8,3,0,1351275681
319821,dln385,0,34,18,4,1271616847
3023205,GermaineJason,0,11,2,0,1385150884
8524,Diederik,0,31,15,1,1221495294
4202765,Luis404,0,4,0,0,1414763893
2351468,user2351468,0,4,0,0,1367740141
8528,Spencer Kormos,37,38,13,3,1221495327
549212,gdawgrancid,0,17,4,1,1292464340
4104555,ProgrammersBlock,33,5,0,0,1412303443
1532224,Savage Reader,0,10,1,1,1342538135
2204027,user2204027,0,7,0,0,1364108800
1483084,FernandoPaiva,0,14,4,0,1340721265
794967,Aleksandar Stojadinovic,25,23,8,0,1307900926
1958210,Son,0,7,0,0,1357650835
4006236,Jammingz,21,1,0,0,1409797656
3727706,DragonZ,0,3,0,0,1402433507
368999,jaks,0,34,16,3,1276756254
696686,dieend,23,18,4,0,1302174901
3400021,user3400021,0,1,0,0,1394415759
745827,Cengiz,40,42,14,3,1304975378
2302282,Carlos Taylor,0,15,7,2,1366466316
2351432,Matt Logan,0,30,11,1,1367738671
